dest_dir,path,schema_fingerprint,schema_ok,timestamp_col_used,n_trades,unit_guess,unit_ok,pct_whole_second,granularity_ok,rows_ok,min_ts,max_ts,error,PASS
AACG_2025-07-21_40.24,data/filtered/AACG_2025-07-21_40.24/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,1466,ns,True,0.0,True,True,1753095603486000000,1753142373671000000,,True
AACG_2025-07-30_37.29,data/filtered/AACG_2025-07-30_37.29/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,2012,ns,True,0.0004970178926441351,True,True,1753862430148000000,1753919845455000000,,True
AACG_2025-07-31_35.29,data/filtered/AACG_2025-07-31_35.29/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,3589,ns,True,0.0013931457230426303,True,True,1753948805129000000,1754005008362000000,,True
AACG_2025-08-04_38.89,data/filtered/AACG_2025-08-04_38.89/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,28183,ns,True,0.0005677181279494731,True,True,1754294400017000000,1754351997558000000,,True
AAME_2025-08-14_30.61,data/filtered/AAME_2025-08-14_30.61/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,1009,ns,True,0.0,True,True,1755175723281000000,1755215872845000000,,True
AAOI_2025-03-14_49.28,data/filtered/AAOI_2025-03-14_49.28/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,143646,ns,True,0.0014619272377929076,True,True,1741939200004000000,1741996734472000000,,True
AAOI_2025-04-09_35.56,data/filtered/AAOI_2025-04-09_35.56/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,55420,ns,True,0.0009743774810537712,True,True,1744185600019000000,1744243132613000000,,True
AAP_2025-05-22_59.82,data/filtered/AAP_2025-05-22_59.82/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,253474,ns,True,0.0012111695874133046,True,True,1747900800054000000,1747958397823000000,,True
AAPB_2025-04-09_31.41,data/filtered/AAPB_2025-04-09_31.41/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,5248,ns,True,0.0019054878048780487,True,True,1744185919937000000,1744243177472000000,,True
AAPU_2025-04-09_32.07,data/filtered/AAPU_2025-04-09_32.07/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,31158,ns,True,0.0012837794466910586,True,True,1744185600008000000,1744243172336000000,,True
AARD_2025-02-20_31.41,data/filtered/AARD_2025-02-20_31.41/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,4451,ns,True,0.0022466861379465287,True,True,1740044263081000000,1740095849144000000,,True
ABAT_2025-04-29_33.91,data/filtered/ABAT_2025-04-29_33.91/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,25056,ns,True,0.0011574074074074073,True,True,1745913779336000000,1745971183556000000,,True
ABAT_2025-07-21_37.50,data/filtered/ABAT_2025-07-21_37.50/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,67491,ns,True,0.0008297402616645182,True,True,1753084800026000000,1753142383731000000,,True
ABAT_2025-10-13_50.81,data/filtered/ABAT_2025-10-13_50.81/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,230109,ns,True,0.0013037299714483137,True,True,1760342400027000000,1760399992585000000,,True
ABAT_2025-10-20_41.65,data/filtered/ABAT_2025-10-20_41.65/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,187317,ns,True,0.001420052638041395,True,True,1760947200018000000,1761004798830000000,,True
